committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00502906,FACEBOOK INC. PAC,2016,M10,2.0161E+17,23,03849722076F6133FBF,1110548,CCM,CAMPAIGN COMMITTEE,C00466482,C00466482,FAMILIES FOR JAMES LANKFORD,OK,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42628,500,S,SENATE,,S4OK00232,"LANKFORD, JAMES PAUL",JAMES,LANKFORD,PAUL,,,OK,OKLAHOMA,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.10192E+18,BETHANY,73008,CONTRIBUTIONS,,2016,SB,4.11042E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201610199033067029,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2016,M10,2.0161E+17,23,30D430724DC21BD2A6B,1110548,CCM,CAMPAIGN COMMITTEE,C00385526,C00385526,THE RICHARD BURR COMMITTEE,NC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42636,500,S,SENATE,,S4NC00089,"BURR, RICHARD M.",RICHARD,BURR,M.,,,NC,NORTH CAROLINA,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.10192E+18,WINSTON-SALEM,27113,CONTRIBUTIONS,,2016,SB,4.11042E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201610199033067048,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2016,12G,2.0161E+17,23,D0CCA2294066A320A91,1117760,CCM,CAMPAIGN COMMITTEE,C00311043,C00311043,BRADY FOR CONGRESS,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42649,500,H,HOUSE,8,H6TX08100,"BRADY, KEVIN PATRICK",KEVIN,BRADY,PATRICK,,,TX,TEXAS,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.10272E+18,THE WOODLANDS,773878277,CONTRIBUTIONS,,2016,SB,4.11282E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201610279034659022,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,061ECD46CB32707204C,1043994,CCM,CAMPAIGN COMMITTEE,C00344051,C00344051,BILL NELSON FOR U S SENATE,FL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2018 PRIMARY,,,42090,1000,S,SENATE,,S8FL00166,"NELSON, BILL",BILL,NELSON,,,,FL,FLORIDA,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,MELBOURNE,32935,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694862,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,9FFDA7EEC58290C91D6,1043994,CCM,CAMPAIGN COMMITTEE,C00307314,C00307314,BLUMENAUER FOR CONGRESS,OR,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42090,1000,H,HOUSE,3,H6OR03064,"BLUMENAUER, EARL FRANCIS",EARL,BLUMENAUER,FRANCIS,,,OR,OREGON,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,PORTLAND,97232,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694863,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,964EFB5C5462FEE6F69,1043994,CCM,CAMPAIGN COMMITTEE,C00307314,C00307314,BLUMENAUER FOR CONGRESS,OR,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42159,1000,H,HOUSE,3,H6OR03064,"BLUMENAUER, EARL FRANCIS",EARL,BLUMENAUER,FRANCIS,,,OR,OREGON,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,PORTLAND,97232,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694863,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,C14A69A21147EB1219D,1043994,CCM,CAMPAIGN COMMITTEE,C00230482,C00230482,GRASSLEY COMMITTEE INC,IA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42185,1000,S,SENATE,,S0IA00028,"GRASSLEY, CHARLES E.",CHARLES,GRASSLEY,E.,,,IA,IOWA,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,DES MOINES,50304,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694869,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,CDA5B1113716614B470,1043994,CCM,CAMPAIGN COMMITTEE,C00445023,C00445023,GUTHRIE FOR CONGRESS,KY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42181,1000,H,HOUSE,2,H8KY02031,"GUTHRIE, S. BRETT",S. BRETT,GUTHRIE,,,,KY,KENTUCKY,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,BOWLING GREEN,421029639,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694869,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,4BEE1695575EAC22F7B,1043994,CCM,CAMPAIGN COMMITTEE,C00503052,C00503052,JEFFRIES FOR CONGRESS,DC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42090,1000,H,HOUSE,8,H2NY10092,"JEFFRIES, HAKEEM S.",HAKEEM,JEFFRIES,S.,,,NY,NEW YORK,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,WASHINGTON,20008,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694871,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,3B00F4D4300A6FB183F,1043994,CCM,CAMPAIGN COMMITTEE,C00512970,C00512970,JOE KENNEDY FOR CONGRESS,MA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42159,1000,H,HOUSE,4,H2MA04073,"KENNEDY, JOSEPH PATRICK III",JOSEPH,KENNEDY,PATRICK,,III,MA,MASSACHUSETTS,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,NEWTON,2459,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694871,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,19370AF37189BEAA26B,1043994,CCM,CAMPAIGN COMMITTEE,C00458877,C00458877,KINZINGER FOR CONGRESS,IL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42090,1000,H,HOUSE,16,H0IL11052,"KINZINGER, ADAM DANIEL",ADAM,KINZINGER,DANIEL,,,IL,ILLINOIS,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,OTTAWA,613506965,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694872,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,E13965B7854775CD8FB,1043994,CCM,CAMPAIGN COMMITTEE,C00446906,C00446906,KURT SCHRADER FOR CONGRESS,OR,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42159,1000,H,HOUSE,5,H8OR05107,"SCHRADER, KURT",KURT,SCHRADER,,,,OR,OREGON,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,OREGON CITY,97045,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694873,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,114333A617C27C37E97,1043994,CCM,CAMPAIGN COMMITTEE,C00458844,C00458844,MARCO RUBIO FOR US SENATE,FL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42094,1000,S,SENATE,,S0FL00338,"RUBIO, MARCO ANTONIO",MARCO,RUBIO,ANTONIO,,,FL,FLORIDA,P2016,,PRIMARY,2016,C,CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,MIAMI,332558701,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694874,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,F0DE9A4DEE23245615C,1043994,CCM,CAMPAIGN COMMITTEE,C00434563,C00434563,MARTIN HEINRICH FOR SENATE,NM,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2018 PRIMARY,,,42090,1000,S,SENATE,,S2NM00088,"HEINRICH, MARTIN",MARTIN,HEINRICH,,,,NM,NEW MEXICO,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,ALBUQUERQUE,87125,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694875,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,ED3272940FEF89FA7CD,1043994,CCM,CAMPAIGN COMMITTEE,C00474189,C00474189,MIKE KELLY FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42181,1000,H,HOUSE,3,H0PA03271,"KELLY, G. MIKE J.",G. MIKE,KELLY,J.,,,PA,PENNSYLVANIA,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,LYNDORA,16045,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694876,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,5301A6A86261A33B178,1043994,CCM,CAMPAIGN COMMITTEE,C00458315,C00458315,MORAN FOR KANSAS,KS,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42090,1000,S,SENATE,,S0KS00091,"MORAN, JERRY W.",JERRY,MORAN,W.,,,KS,KANSAS,G2016,,GENERAL,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,HAYS,676011151,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694877,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,2972D0432EE648294F4,1043994,CCM,CAMPAIGN COMMITTEE,C00443689,C00443689,PEOPLE FOR BEN,NM,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42159,1000,H,HOUSE,3,H8NM03196,"LUJAN, BEN RAY",BEN,LUJAN,RAY,,,NM,NEW MEXICO,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,SANTA FE,87594,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694878,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,9E51A549457B242823C,1043994,CCM,CAMPAIGN COMMITTEE,C00257642,C00257642,PEOPLE FOR PATTY MURRAY,WA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42090,1000,S,SENATE,,S2WA00189,"MURRAY, PATRICIA LYNN",PATRICIA,MURRAY,LYNN,,,WA,WASHINGTON,G2016,,GENERAL,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,SEATTLE,98124,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694878,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,AA1049C47794CF44D90,1043994,CCM,CAMPAIGN COMMITTEE,C00460402,C00460402,"POMPEO FOR CONGRESS, INC.",KS,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42181,1000,H,HOUSE,4,H0KS04051,"POMPEO, MICHAEL RICHARD",MICHAEL,POMPEO,RICHARD,,,KS,KANSAS,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,WICHITA,672780146,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694879,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,5284613CAC3E7FEDBFE,1043994,CCM,CAMPAIGN COMMITTEE,C00458463,C00458463,PORTMAN FOR SENATE COMMITTEE,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42090,1000,S,SENATE,,S0OH00133,"PORTMAN, ROB J.",ROB,PORTMAN,J.,,,OH,OHIO,G2016,,GENERAL,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,DUBLIN,430178914,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694879,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,F31D636D1BEAFD37EBE,1043994,CCM,CAMPAIGN COMMITTEE,C00458463,C00458463,PORTMAN FOR SENATE COMMITTEE,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42185,1000,S,SENATE,,S0OH00133,"PORTMAN, ROB J.",ROB,PORTMAN,J.,,,OH,OHIO,G2016,,GENERAL,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,DUBLIN,430178914,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694880,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
